person_id,age_group,gender,personality_type,mood_score,stress_level,hobbies,favorite_game_genre,favorite_music_genre,fear_tolerance,risk_tolerance,humor_preference,openness_score,romance_interest,social_media_hours_per_day,preferred_language,relationship_status,favorite_season,sleep_pattern,education_level,occupation,income_bracket,preferred_streaming_platform,preferred_watch_time,viewing_companion,snack_preference,preferred_device,preferred_movie_length,favorite_movie_era,exercise_frequency,pet_ownership,streaming_subscription_count,travel_frequency,book_reading_frequency,recommended_movie_genre,age_group_encoded,education_level_encoded,income_bracket_encoded,exercise_frequency_encoded,preferred_movie_length_encoded,travel_frequency_encoded,gender_Female,gender_Male,gender_Non-binary,personality_type_Ambivert,personality_type_Extrovert,personality_type_Introvert,favorite_game_genre_Action,favorite_game_genre_Horror/Survival,favorite_game_genre_Nao_Informado,favorite_game_genre_Puzzle,favorite_game_genre_RPG,favorite_game_genre_Racing,favorite_game_genre_Simulation,favorite_game_genre_Sports,favorite_game_genre_Strategy,favorite_music_genre_Classical,favorite_music_genre_Country,favorite_music_genre_EDM,favorite_music_genre_Hip-Hop,favorite_music_genre_Indie,favorite_music_genre_Jazz,favorite_music_genre_Nao_Informado,favorite_music_genre_Pop,favorite_music_genre_Rock,preferred_language_English,preferred_language_French,preferred_language_Hindi,preferred_language_Japanese,preferred_language_Korean,preferred_language_Spanish,relationship_status_Divorced,relationship_status_In a relationship,relationship_status_Married,relationship_status_Single,favorite_season_Autumn,favorite_season_Spring,favorite_season_Summer,favorite_season_Winter,sleep_pattern_Early Bird,sleep_pattern_Irregular,sleep_pattern_Night Owl,occupation_Business/Finance,occupation_Creative/Arts,occupation_Education,occupation_Engineering,occupation_Healthcare,occupation_Homemaker,occupation_Retail/Service,occupation_Retired,occupation_Software/IT,occupation_Student,occupation_Unemployed,preferred_streaming_platform_Amazon Prime,preferred_streaming_platform_Disney+,preferred_streaming_platform_HBO Max,preferred_streaming_platform_Hulu,preferred_streaming_platform_Local Cinema,preferred_streaming_platform_Netflix,preferred_streaming_platform_YouTube,preferred_watch_time_Afternoon,preferred_watch_time_Evening,preferred_watch_time_Late Night,preferred_watch_time_Morning,viewing_companion_Alone,viewing_companion_With Family,viewing_companion_With Friends,viewing_companion_With Kids,viewing_companion_With Partner,snack_preference_Candy/Sweets,snack_preference_Chips,snack_preference_Healthy Snacks,snack_preference_Nachos,snack_preference_No Snacks,snack_preference_Popcorn,preferred_device_Cinema Screen,preferred_device_Laptop,preferred_device_Projector,preferred_device_Smart TV,preferred_device_Smartphone/Tablet,favorite_movie_era_2000s,favorite_movie_era_2010s,favorite_movie_era_2020s and beyond,favorite_movie_era_80s/90s,favorite_movie_era_Classic (pre-1980),pet_ownership_Has Cat,pet_ownership_Has Dog,pet_ownership_Has Other Pet,pet_ownership_Multiple Pets,pet_ownership_No Pets,book_reading_frequency_1-2 books/month,book_reading_frequency_A few books a year,book_reading_frequency_Avid reader (3+ books/month),book_reading_frequency_Never,book_reading_frequency_Weekly reader,recommended_movie_genre_encoded,hobby_Music,hobby_Reading,hobby_Traveling,hobby_Fitness,hobby_Painting/Art,hobby_Gaming,hobby_Writing,hobby_Sports,hobby_Cooking,hobby_Dancing,hobby_Hiking,hobby_Photography,hobby_Gardening,hobby_Watching TV
1,Teen (13-17),Male,Ambivert,6.0,4.5,Music,Simulation,Indie,1.9,7.5,4.4,5.8,5.0,0.6,Korean,In a relationship,Spring,Night Owl,Master's Degree,Healthcare,Middle ($50k-90k),Netflix,Evening,With Family,Candy/Sweets,Smartphone/Tablet,Standard (90-120 min),2020s and beyond,3-5 times/week,No Pets,5,2-3 times/year,1-2 books/month,Thriller,0.0,3.0,2.0,3.0,1.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Young Adult (18-25),Female,Extrovert,7.5,5.8,"Reading, Traveling",Horror/Survival,Hip-Hop,2.7,1.1,4.5,5.8,5.8,1.2,English,In a relationship,Winter,Irregular,High School,Healthcare,Lower-Middle ($25k-50k),Disney+,Evening,With Friends,Candy/Sweets,Cinema Screen,Standard (90-120 min),80s/90s,3-5 times/week,No Pets,3,Frequently (weekly/biweekly),Never,Romance,1.0,0.0,1.0,3.0,1.0,4.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,Young Adult (18-25),Male,Ambivert,7.2,6.9,"Fitness, Painting/Art, Gaming",Puzzle,Rock,7.1,4.8,7.8,9.4,1.0,1.0,French,Divorced,Winter,Irregular,Bachelor's Degree,Student,Middle ($50k-90k),Netflix,Evening,With Friends,Nachos,Smartphone/Tablet,Standard (90-120 min),2010s,Rarely,Has Dog,3,Monthly,A few books a year,Comedy,1.0,2.0,2.0,1.0,1.0,3.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
4,Teen (13-17),Male,Introvert,5.2,2.5,"Painting/Art, Writing, Sports",Puzzle,Nao_Informado,3.6,3.6,6.3,7.0,1.0,1.6,English,Divorced,Summer,Night Owl,Vocational/Diploma,Engineering,Low (<$25k),Netflix,Evening,Alone,Popcorn,Smart TV,Short (<90 min),80s/90s,3-5 times/week,Has Cat,3,Once a year,Never,Action,0.0,1.0,0.0,3.0,0.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
5,Teen (13-17),Male,Introvert,6.3,8.8,Cooking,Puzzle,Pop,7.5,4.2,1.0,5.1,7.0,1.0,French,Divorced,Autumn,Irregular,Bachelor's Degree,Healthcare,High (>$150k),Netflix,Evening,With Family,Chips,Laptop,Standard (90-120 min),80s/90s,3-5 times/week,No Pets,2,2-3 times/year,Avid reader (3+ books/month),Drama,0.0,2.0,4.0,3.0,1.0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Young Adult (18-25),Male,Introvert,9.5,9.0,"Reading, Painting/Art, Dancing",Horror/Survival,Hip-Hop,8.5,5.6,3.6,3.5,1.0,3.8,Japanese,Single,Winter,Night Owl,Master's Degree,Education,Upper-Middle ($90k-150k),Amazon Prime,Evening,With Friends,No Snacks,Cinema Screen,Standard (90-120 min),Classic (pre-1980),1-2 times/week,Has Cat,3,Monthly,A few books a year,Drama,1.0,3.0,3.0,2.0,1.0,3.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0
7,Teen (13-17),Female,Introvert,5.9,6.5,Music,Racing,Classical,4.6,6.2,2.4,4.3,4.5,1.9,Japanese,Married,Winter,Night Owl,Vocational/Diploma,Homemaker,Lower-Middle ($25k-50k),Netflix,Evening,With Partner,Nachos,Cinema Screen,Standard (90-120 min),80s/90s,Daily,No Pets,3,2-3 times/year,1-2 books/month,Action,0.0,1.0,1.0,4.0,1.0,2.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Senior (60+),Female,Ambivert,5.4,1.3,"Writing, Hiking",RPG,Hip-Hop,5.9,3.6,3.1,5.9,2.8,2.2,English,Married,Winter,Night Owl,PhD,Homemaker,Middle ($50k-90k),Disney+,Evening,With Family,Chips,Smart TV,Short (<90 min),2010s,1-2 times/week,Has Dog,3,2-3 times/year,A few books a year,Sci-Fi,4.0,4.0,2.0,2.0,0.0,2.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0
9,Young Adult (18-25),Female,Ambivert,8.9,3.6,"Reading, Painting/Art",Nao_Informado,Hip-Hop,5.7,3.6,5.3,7.1,3.4,2.6,Hindi,In a relationship,Spring,Early Bird,Bachelor's Degree,Retail/Service,Upper-Middle ($90k-150k),YouTube,Afternoon,Alone,No Snacks,Cinema Screen,Standard (90-120 min),2020s and beyond,Never,Has Dog,5,Once a year,Weekly reader,Drama,1.0,2.0,3.0,0.0,1.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,Teen (13-17),Female,Extrovert,6.6,1.4,"Traveling, Photography, Gaming",Racing,Classical,6.3,3.8,4.4,1.0,3.4,1.3,English,Married,Spring,Early Bird,Master's Degree,Retail/Service,Middle ($50k-90k),HBO Max,Morning,With Friends,Nachos,Cinema Screen,Short (<90 min),2020s and beyond,1-2 times/week,Has Other Pet,3,Frequently (weekly/biweekly),A few books a year,Action,0.0,3.0,2.0,2.0,0.0,4.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
11,Teen (13-17),Female,Extrovert,8.1,3.9,"Traveling, Painting/Art, Gardening",Strategy,Hip-Hop,1.0,1.5,7.5,8.6,5.2,2.0,French,Single,Summer,Night Owl,Master's Degree,Healthcare,Lower-Middle ($25k-50k),Amazon Prime,Evening,With Friends,Popcorn,Smart TV,Standard (90-120 min),2010s,Rarely,Has Dog,1,Monthly,A few books a year,Comedy,0.0,3.0,1.0,1.0,1.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
